,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 W YELLOW 
,,,PKT,2,2.75,,5,0.28,5.78,,,,,,,,,,,,,,,,,,,CABLE MARKER BM-3 X YELLOW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/1/2025
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,429906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,2,27,,5,2.7,56.7,,,,,,,,,,,,,,,,,,,25PCS RATCHET DRIVER SOCKET & BIT SET GX-40498
,,,NOS,2,25,,5,2.5,52.5,,,,,,,,,,,,,,,,,,,38PCS RATCHET BIT & SOCKET SET GX-40309
,,,NOS,1,27,,5,1.35,28.35,,,,,,,,,,,,,,,,,,,41PCS RATCHET & BIT TOOL SET GX-40405
,,,NOS,1,32,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,69PCS RATCHET BIT SET GX-40287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/2/2025 0:00
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,February
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,432102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,200,3,,5,30,630,,,,,,,,,,,,,,,,,,,CUPBOARD SWITCH GCS-202
,,,NOS,1,65,,5,3.25,68.25,,,,,,,,,,,,,,,,,,,RECHARGEABLE SCREW DRIVER SET 32BIT GXQ2002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/2/2025
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,February
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,435578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,500,1,,5,25,525,,,,,,,,,,,,,,,,,,,FAST LOOPING CONNECTOR PCT-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/20/2025 0:00
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,February
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,435223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,4,14,,5,2.8,58.8,,,,,,,,,,,,,,,,,,,THERMOSTAT GUARD BTG-EK 130X120X75MM GIFFEX 
,,,NOS,4,15,,5,3,63,,,,,,,,,,,,,,,,,,,THERMOSTAT GUARD BTG-K 167X150X85
,,,NOS,4,16,,5,3.2,67.2,,,,,,,,,,,,,,,,,,,THERMOSTAT GUARD BTG-RK 195X120X85MM GIFFEX
